timestamp,ax,ay,az,gx,gy,gz,lat,lng,alt,speed,bearing
24636.402,-1.5078,7.6049,6.3796,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.411,-1.6131,7.5594,6.3126,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.422,-1.5677,7.5809,6.3318,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.431,-1.6227,7.5546,6.2815,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.442,-1.4384,7.5809,6.1451,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.452,-1.4480,7.5714,6.1427,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.461,-1.5629,7.5546,6.3557,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.472,-1.5844,7.5379,6.3988,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.482,-1.6059,7.5474,6.3724,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.491,-1.5629,7.6001,6.3365,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.503,-1.4911,7.5714,6.2360,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.514,-1.4815,7.5594,6.1307,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.523,-1.4983,7.5833,6.1858,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.533,-1.6442,7.5714,6.0996,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.543,-1.5748,7.5450,6.0972,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.552,-1.6036,7.5259,6.0925,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.563,-1.5748,7.5427,6.2049,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.573,-1.6227,7.6097,6.3054,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.583,-1.5366,7.5738,6.4059,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.593,-1.6059,7.5714,6.3174,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.603,-1.4815,7.5666,6.2767,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.613,-1.5557,7.5738,6.1978,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.623,-1.5126,7.5762,6.2935,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.633,-1.5533,7.5642,6.2959,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.642,-1.6012,7.5570,6.3892,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.653,-1.5389,7.5642,6.4131,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.662,-1.5844,7.5427,6.3246,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.674,-1.6418,7.5618,6.3485,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.683,-1.5844,7.5953,6.2791,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.692,-1.5844,7.5570,6.2265,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.703,-1.5461,7.5714,6.1188,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.713,-1.5198,7.5666,6.1547,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.722,-1.5318,7.5642,6.0996,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.733,-1.5485,7.5187,6.1331,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.743,-1.4767,7.5642,6.1690,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.752,-1.5222,7.5546,6.2001,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.763,-1.3978,7.5929,6.2073,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.772,-1.4552,7.5355,6.1475,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.783,-1.5198,7.5570,6.2025,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.793,-1.6275,7.5379,6.0925,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.802,-1.6012,7.5522,6.1499,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.813,-1.5366,7.5857,6.2456,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.822,-1.6012,7.5881,6.1906,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.836,-1.6012,7.5881,6.5017,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.844,-1.5772,7.5738,6.3940,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.853,-1.5150,7.5690,6.4586,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.864,-1.4791,7.5666,6.4203,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.874,-1.4695,7.5355,6.2504,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.884,-1.4073,7.5738,6.2001,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.894,-1.4695,7.5618,6.1164,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.903,-1.4935,7.5427,6.1619,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.913,-1.5054,7.5450,6.1307,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.924,-1.5988,7.5666,6.2073,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.933,-1.4887,7.5618,6.2336,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
24636.943,-1.5366,7.5379,6.2001,0.0000,0.0000,0.0000,40.077666,116.428978,43.6,0.00,157.6
